,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit
rp.session.radical.mturilli.017053.0001,203.221400023,4003.28500009,30.8147001266,0.00209999084473,0.123899936676,4189.10210013,3758.31080008,0.0398004055023,0.0499002933502,3185.66159987,0.0146999359131,0.282599925995,exp2,2.0,4,4,32
rp.session.radical.mturilli.017053.0002,206.77519989,4201.7645998,29.9997999668,0.00230002403259,0.12030005455,4446.78310013,3960.77340007,0.030100107193,0.0393996238708,3440.83630013,0.00760006904602,0.214699983597,exp2,2.0,4,2,16
rp.session.radical.mturilli.017076.0002,221.923300028,9450.25079989,29.8264000416,0.00119996070862,0.094300031662,9658.10109997,9196.98070002,0.133300304413,0.115300416946,8583.36699986,0.0167000293732,0.79590010643,exp3,2.0,4,4,64
rp.session.radical.mturilli.017076.0003,335.593800068,7278.83710003,29.0762999058,0.00130009651184,0.0946998596191,7543.45210004,7246.98559999,0.248599052429,0.189998865128,6621.00769997,0.0146999359131,0.634900093079,exp3,3.0,4,4,64
rp.session.radical.mturilli.017076.0004,1573.95880008,2003.4138,29.458799839,0.0012001991272,0.0984997749329,3643.74360013,1976.05250001,0.0170001983643,0.0189995765686,1772.92389989,0.00399994850159,0.609300136566,exp3,2.0,4,2,16
rp.session.radical.mturilli.017076.0005,1643.46950006,3801.26990008,29.0829999447,0.00130009651184,0.0953998565674,5436.57190013,3559.7737999,0.0619003772736,0.0591998100281,3206.87969995,0.010400056839,0.222300052643,exp3,1.0,4,4,32
rp.session.radical.mturilli.017077.0003,403.864699841,5309.04290009,29.068500042,0.00119996070862,0.0966999530792,5781.62420011,5282.80959988,0.022700548172,0.0259001255035,4837.00309992,0.00549983978271,0.206300020218,exp3,2.0,4,1,16
rp.session.radical.mturilli.017077.0004,139.402699947,7896.9132998,29.1101999283,0.00130009651184,0.111700057983,8063.93869996,7575.3743,0.107301235199,1.2466006279,7148.23020005,0.0153999328613,0.394999980927,exp3,2.0,4,3,64
rp.session.radical.mturilli.017077.0005,231.823899984,3959.296,29.8957998753,0.00139999389648,0.0973000526428,4168.82739997,3930.31949997,0.0663001537323,0.0662000179291,3626.34370017,0.0125000476837,0.213600158691,exp3,3.0,4,3,32
rp.session.radical.mturilli.017077.0006,317.776400089,4770.5302,29.7811000347,0.00119996070862,0.094899892807,5084.00479984,4740.87259984,0.0454003810883,0.0436000823975,4453.19219995,0.00709986686707,0.229200124741,exp3,3.0,4,2,32
rp.session.radical.mturilli.017077.0007,177.322199821,3104.69200015,28.9450001717,0.00119996070862,0.0947999954224,3333.00390005,3080.96389985,0.0127999782562,0.0107002258301,2649.28990006,0.00279998779297,0.0998001098633,exp3,2.0,4,1,8
rp.session.radical.mturilli.017077.0010,256.972100019,1016.34909987,33.3336999416,0.00139999389648,0.0945999622345,1253.18449998,983.732699871,0.00970005989075,0.0120003223419,551.301499844,0.00300002098083,0.0995998382568,exp3,2.0,4,4,8
rp.session.radical.mturilli.017077.0011,305.318400145,2030.64489985,33.5122997761,0.00170016288757,0.0987000465393,2253.5237999,1769.48179984,0.0228002071381,0.0270001888275,1441.14890003,0.00440001487732,0.216900110245,exp3,4.0,4,3,16
rp.session.radical.mturilli.017077.0012,232.882499933,1974.1875999,33.9862999916,0.00110006332397,0.0971999168396,2209.0059998,1724.92750001,0.0194997787476,0.0238001346588,1353.55169988,0.00709986686707,0.204200029373,exp3,2.0,4,4,16
rp.session.radical.mturilli.017078.0000,231.959300041,1067.5400002,33.5975000858,0.00119996070862,0.0947000980377,1349.43149996,1040.0783,0.0121998786926,0.0135998725891,680.530099869,0.00240015983582,0.526499986649,exp3,2.0,4,3,8
rp.session.radical.mturilli.017078.0001,163.524800062,697.532099962,33.4283998013,0.00160002708435,0.097400188446,920.322800398,665.675400019,0.00729990005493,0.0116999149323,356.203000069,0.00309991836548,0.101900100708,exp3,2.0,4,4,8
rp.session.radical.mturilli.017078.0002,273.564699888,3158.51379991,34.0095000267,0.00110006332397,0.117399930954,3362.71560001,2917.52480006,0.0393004417419,0.0397992134094,2558.16890001,0.0183000564575,0.232899904251,exp3,3.0,4,3,32
rp.session.radical.mturilli.017078.0003,298.03489995,3024.07299995,33.2258000374,0.00139999389648,0.0977001190186,3260.44210005,2772.3132,0.0432996749878,0.0446000099182,2465.39569998,0.00869989395142,0.214900016785,exp3,3.0,4,4,32
rp.session.radical.mturilli.017078.0010,230.809300184,1744.4302001,34.8984999657,0.0019998550415,0.0986001491547,1962.21420002,1490.71700001,0.012099981308,0.0164999961853,790.991699934,0.00419998168945,0.105800151825,exp3,3.0,4,4,8
rp.session.radical.mturilli.017078.0011,225.710000038,1029.84789991,33.5480999947,0.00209999084473,0.0990998744965,1283.06730008,999.616100073,0.0103001594543,0.0151996612549,530.151200056,0.00520014762878,0.105799913406,exp3,2.0,4,4,8
